"Name";"Subtitle";"Acceleration";"TopSpeed";"Range_km";"Efficiency";"FastChargeSpeed";"Drive";"NumberofSeats";"PriceinGermany";"PriceinUK";"price_germany_num";"price_uk_num"
"Toyota PROACE Verso L 50 kWh";"Battery Electric Vehicle |       45 kWh ";"12.1 sec";"130 km/h";"180 km";"250 Wh/km";"240 km/h";"Front Wheel Drive";"7";"59385";"";59385.0;0.0
"Toyota PROACE Verso M 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.1 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"64530";"";64530.0;0.0
"Toyota PROACE Verso L 75 kWh";"Battery Electric Vehicle |       68 kWh ";"13.1 sec";"130 km/h";"270 km";"252 Wh/km";"290 km/h";"Front Wheel Drive";"7";"65385";"";65385.0;0.0
"CUPRA Born 150 kW - 62 kWh";"Battery Electric Vehicle |       58 kWh";"7.3 sec";"160 km/h";"350 km";"166 Wh/km";"440 km/h";"Rear Wheel Drive";"5";"36770";"30500";36770.0;30500.0
"CUPRA Born 170 kW - 62 kWh";"Battery Electric Vehicle |       58 kWh";"6.6 sec";"160 km/h";"345 km";"168 Wh/km";"430 km/h";"Rear Wheel Drive";"5";"39000";"31500";39000.0;31500.0
"CUPRA Born 170 kW - 82 kWh";"Battery Electric Vehicle |       77 kWh";"7.0 sec";"160 km/h";"450 km";"171 Wh/km";"550 km/h";"Rear Wheel Drive";"5";"43000";"42000";43000.0;42000.0
"BMW i4 M50";"Battery Electric Vehicle |       80.7 kWh";"3.9 sec";"225 km/h";"450 km";"179 Wh/km";"630 km/h";"All Wheel Drive";"5";"69900";"63905";69900.0;63905.0
"Volvo XC40 Recharge Twin Pure Electric";"Battery Electric Vehicle |       75 kWh";"4.9 sec";"180 km/h";"340 km";"221 Wh/km";"440 km/h";"All Wheel Drive";"5";"59250";"49950";59250.0;49950.0
"Renault Megane E-Tech Electric";"Battery Electric Vehicle |       60 kWh ";"8.0 sec";"160 km/h";"335 km";"179 Wh/km";"480 km/h";"Front Wheel Drive";"5";"38000";"32500";38000.0;32500.0
"Peugeot e-Rifter Standard 50 kWh";"Battery Electric Vehicle |       45 kWh ";"11.7 sec";"135 km/h";"200 km";"225 Wh/km";"270 km/h";"Front Wheel Drive";"7";"37590";"30375";37590.0;30375.0
"Peugeot e-Rifter Long 50 kWh";"Battery Electric Vehicle |       45 kWh ";"11.7 sec";"135 km/h";"195 km";"231 Wh/km";"260 km/h";"Front Wheel Drive";"7";"42590";"32455";42590.0;32455.0
"MG Marvel R ";"Battery Electric Vehicle |       65 kWh ";"7.9 sec";"200 km/h";"340 km";"191 Wh/km";"390 km/h";"Rear Wheel Drive";"5";"40000";"";40000.0;0.0
"Tesla Model 3 Long Range Dual Motor";"Battery Electric Vehicle |       76 kWh ";"4.4 sec";"233 km/h";"490 km";"155 Wh/km";"820 km/h";"All Wheel Drive";"5";"53560";"";53560.0;0.0
"MG MG5 EV Long Range";"Battery Electric Vehicle |       57 kWh ";"7.7 sec";"185 km/h";"340 km";"168 Wh/km";"340 km/h";"Front Wheel Drive";"5";"";"26495";0.0;26495.0
"Audi Q4 e-tron 45 quattro";"Battery Electric Vehicle |       76.6 kWh";"6.9 sec";"180 km/h";"385 km";"199 Wh/km";"470 km/h";"All Wheel Drive";"5";"50900";"";50900.0;0.0
"Audi Q4 Sportback e-tron 40";"Battery Electric Vehicle |       76.6 kWh";"8.5 sec";"160 km/h";"425 km";"180 Wh/km";"520 km/h";"Rear Wheel Drive";"5";"49500";"";49500.0;0.0
"Opel Ampera-e ";"Battery Electric Vehicle |       58 kWh ";"7.3 sec";"150 km/h";"335 km";"173 Wh/km";"210 km/h";"Front Wheel Drive";"5";"42990";"";42990.0;0.0
"Renault Kangoo Maxi ZE 33";"Battery Electric Vehicle |       31 kWh ";"22.4 sec";"130 km/h";"160 km";"194 Wh/km";"-";"Front Wheel Drive";"5";"";"31680";0.0;31680.0
"Nissan Leaf ";"Battery Electric Vehicle |       36 kWh ";"7.9 sec";"144 km/h";"220 km";"164 Wh/km";"230 km/h";"Front Wheel Drive";"5";"29990";"25995";29990.0;25995.0
"Audi e-tron Sportback 55 quattro";"Battery Electric Vehicle |       86.5 kWh";"5.7 sec";"200 km/h";"375 km";"231 Wh/km";"600 km/h";"All Wheel Drive";"5";"";"79900";0.0;79900.0
"Porsche Taycan Turbo S";"Battery Electric Vehicle |       83.7 kWh";"2.8 sec";"260 km/h";"390 km";"215 Wh/km";"860 km/h";"All Wheel Drive";"4";"186336";"138830";186336.0;138830.0
"Nissan e-NV200 Evalia ";"Battery Electric Vehicle |       36 kWh ";"14.0 sec";"123 km/h";"165 km";"218 Wh/km";"170 km/h";"Front Wheel Drive";"7";"43433";"30255";43433.0;30255.0
"Volkswagen ID.3 Pure Performance";"Battery Electric Vehicle |       45 kWh";"8.9 sec";"160 km/h";"275 km";"164 Wh/km";"260 km/h";"Rear Wheel Drive";"5";"31960";"27120";31960.0;27120.0
"BMW iX3 ";"Battery Electric Vehicle |       74 kWh";"6.8 sec";"180 km/h";"385 km";"192 Wh/km";"520 km/h";"Rear Wheel Drive";"5";"66300";"58850";66300.0;58850.0
"Nissan Leaf e+";"Battery Electric Vehicle |       56 kWh ";"7.3 sec";"157 km/h";"325 km";"172 Wh/km";"390 km/h";"Front Wheel Drive";"5";"38350";"30445";38350.0;30445.0
